"id";"cause_name";"created_at";"updated_at";"deleted_at"
52;"AV. HOMICIDIO AGRAVADO POR EL USO DE ARMA EN GRADO DE TENTATIVA";"2025-05-26 04:43:07";"2025-05-26 04:43:07";""
53;"AV. INFRACCIÓN AL ART.239 DEL CODIGO PENAL ARGENTINO/S FUGA DEL SERVICIO PENITENCIARIO PROVINCIAL.";"2025-05-26 05:23:34";"2025-05-26 05:23:34";""
54;"AV. VIOLACIÓN DE DOMICILIO";"2025-05-26 05:36:05";"2025-05-26 05:36:05";""
55;"IMPUTADOS (DETENIDOS)";"2025-05-26 05:43:04";"2025-05-26 05:43:04";""
56;"AV. LESIONES Y AMENAZAS CON ARMA DE FUEGO";"2025-05-26 06:08:47";"2025-05-26 06:08:47";""
57;"AV. ENCUBRIMIENTO";"2025-05-26 06:33:53";"2025-05-26 06:33:53";""
58;"SOLICITUD DE COLABORACIÓN DE LA PROV. DE SAN JUAN";"2025-05-26 06:47:46";"2025-05-26 06:47:46";""
59;"AV. HURTO EN GRADO DE TENTATIVA, PROCEDENCIA DE AUTOMOTOR";"2025-05-26 07:03:14";"2025-05-26 07:03:14";""
60;"AV.  LESIONES GRAVISIMAS";"2025-05-26 07:26:26";"2025-05-26 07:26:26";""
61;"AV. LESIONES CALIFICADAS POR EL USO DE ARMA DE FUEGO-EN CONCURSO REAL-LESIONES-AMENAZAS-VIOLACION DE DOMICILIO";"2025-05-26 07:30:35";"2025-05-26 07:30:35";""
62;"AV. HURTO EN GRADO DE TENTATIVA ";"2025-05-26 07:38:53";"2025-05-26 07:38:53";""
63;"AV. LESIONES AGRAVADAS POR EL VINCULO Y POR MEDIAR VIOLENCIA DE GENERO ";"2025-05-26 14:09:11";"2025-05-26 14:09:11";""
64;"AV. HOMICIDIO CULPOSO EN ACCIDENTE DE TRANSITO";"2025-05-27 04:59:05";"2025-05-27 04:59:05";""
65;"AV. HOMICIDIO EN GRADO DE TENTATIVA";"2025-05-27 05:22:27";"2025-05-27 05:22:27";""
66;"TAREAS JUDICIALES DE CAMPO ";"2025-05-27 05:28:58";"2025-05-27 05:28:58";""
67;"AV. HURTO CALIFICADO REITERADO";"2025-05-27 05:36:45";"2025-05-27 05:36:45";""
68;"AV. ROBO - DAÑOS";"2025-05-27 05:48:18";"2025-05-27 05:48:18";""
69;"AV. HURTO AGRAVADO POR ESCALAMIENTO";"2025-05-27 06:42:58";"2025-05-27 06:42:58";""
70;"ACTUACIONES COMPLEMENTARIAS RELACIONADAS AL LEGAJO JUDICIAL N° 8280029/23";"2025-05-27 06:50:41";"2025-05-27 06:50:41";""
71;"AV. ROBO SIMPLE";"2025-05-27 07:07:11";"2025-05-27 07:07:11";""
72;"AV. ROBO CALIFICADO EN BANDA Y EN POBLADO AGRAVADO POR LA PARTICIPACIÓN DE MENORES";"2025-05-27 07:10:47";"2025-05-27 07:10:47";""
73;"AV. HURTO CALIFICADO POR SER EN POBLADO Y EN BANDA";"2025-05-27 07:24:56";"2025-05-27 07:24:56";""
74;"AV. ROBO CALIFICADO POR EL USO DE ARMA BLANCA";"2025-05-31 04:03:13";"2025-05-31 04:03:13";""
75;"AV. COMUNICA SITUACIÓN-MANIFESTACIÓN POR RECLAMOS DE EMPLEADOS DE LA MUNICIPADAD DE SAN LUIS.";"2025-05-31 04:42:54";"2025-05-31 04:42:54";""
76;"AV. COMUNICO SITUACIÓN";"2025-05-31 06:06:36";"2025-05-31 06:06:36";""
77;"AV. COMUNICO SITUACIÓN-MANIFESTACIÓN POR RECLAMO EX EMPLEADOS DEL PLAN DE INCLUSIÓN SOCIAL";"2025-05-31 06:12:01";"2025-05-31 06:12:01";""
78;"AV. HOMICIDIO CALIFICADO POR EL VINCULO Y POR MEDIAR VIOLENCIA DE GENERO EN GRADO DE TENTATIVA";"2025-05-31 06:14:13";"2025-05-31 06:14:13";""
79;"AV. LESIONES DOLOSAS-ATENTADO Y RESISTENCIA A LA  AUTORIDAD EN CONCURSO REAL";"2025-05-31 06:31:49";"2025-05-31 06:31:49";""
80;"“AV. LESIONES DOLOSAS - ATENTADO Y RESISTENCIA A LA  AUTORIDAD EN CONCURSO REAL”";"2025-06-02 11:33:46";"2025-06-02 11:33:46";""
81;"“AV. HURTO SIMPLE EN GRADO DE TENTATIVA”";"2025-06-02 11:45:27";"2025-06-02 11:45:27";""
82;"AV. LESIONES CON ARMA BLANCA";"2025-06-02 12:34:49";"2025-06-02 12:34:49";""
83;"AV. ROBO CALIFICADO POR ESCALAMIENTO - PRIVACION ILEGITIMA DE LA LIBERTAD";"2025-06-17 12:01:45";"2025-06-17 12:01:45";""
84;"AV. LESIONES-AMENAZAS";"2025-06-23 10:41:27";"2025-06-23 10:41:27";""
85;"AV HURTO CALIFICADO EN GRADO DE TENTATIVA AGRABADO POR LA PARTICIPACION DE UN MENOR";"2025-06-23 12:51:34";"2025-06-23 12:51:34";""
