"id";"address";"latitude";"longitude";"created_at";"updated_at"
29;"Ruta Provincial 9, El Volcán, Comisión Municipal de El Volcán, Juan Martín de Pueyrredón, San Luis, 5701, Argentina";"-33.253008121642765";"-66.17460250854494";"2025-05-05 17:11:56";"2025-05-05 17:11:56"
30;"El Volcán, Comisión Municipal de El Volcán, Juan Martín de Pueyrredón, San Luis, 5701, Argentina";"-33.24801950932863";"-66.1791515350342";"2025-05-05 17:14:29";"2025-05-05 17:14:29"
31;"El Volcán, Comisión Municipal de El Volcán, Juan Martín de Pueyrredón, San Luis, Argentina";"-33.251177800559205";"-66.18071794509889";"2025-05-05 17:16:24";"2025-05-05 17:16:24"
32;"San Miguel Arcángel, El Volcán, Comisión Municipal de El Volcán, Juan Martín de Pueyrredón, San Luis, 5700, Argentina";"-33.24687101149177";"-66.19648933410646";"2025-05-05 17:19:25";"2025-05-05 17:19:25"
33;"Ruta Provincial 9, Municipio de Estancia Grande, Coronel Pringles, San Luis, 5701, Argentina";"-33.179082935118565";"-66.10456466674806";"2025-05-05 17:25:17";"2025-05-05 17:32:07"
34;"RP18, Municipio de Estancia Grande, Coronel Pringles, San Luis, 5701, Argentina";"-33.23897468032944";"-66.179838180542";"2025-05-05 17:29:14";"2025-05-05 17:29:14"
35;"RP18, Municipio de Estancia Grande, Coronel Pringles, San Luis, 5701, Argentina";"-33.238920839259656";"-66.17985963821413";"2025-05-05 17:36:27";"2025-05-05 17:36:27"
36;"Ruta Provincial 9, Municipio de Estancia Grande, Coronel Pringles, San Luis, 5701, Argentina";"-33.19818954923578";"-66.12507820129396";"2025-05-05 17:39:54";"2025-05-05 17:39:54"
37;"El Amparo, Municipio de Estancia Grande, Coronel Pringles, San Luis, 5701, Argentina";"-33.189786025615206";"-66.15271568298341";"2025-05-05 17:41:00";"2025-05-05 17:41:00"
38;"América, Juana Koslay, Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, Argentina";"-33.29653871799807";"-66.27401590347291";"2025-05-05 17:46:33";"2025-05-05 17:46:33"
39;"20 de Noviembre, El Chorrillo, Juana Koslay, Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, Argentina";"-33.293247548192255";"-66.26633405685426";"2025-05-05 17:48:25";"2025-05-05 17:48:25"
40;"María Reina de la Paz, San Roque, Juana Koslay, Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, 5700, Argentina";"-33.277991758503205";"-66.24906063079835";"2025-05-05 17:50:42";"2025-05-05 17:50:42"
41;"Avenida Los Eucaliptos, Las Chacras, Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, 5700, Argentina";"-33.27589286978444";"-66.23116493225099";"2025-05-05 17:52:02";"2025-05-05 17:52:02"
42;"Avenida San Roque, Las Chacras, Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, 5700, Argentina";"-33.27622474870972";"-66.23556375503541";"2025-05-05 17:53:22";"2025-05-05 17:53:22"
43;"Avenida Cruz de Piedra, Las Chacras, Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, 5700, Argentina";"-33.26406101050157";"-66.22974872589113";"2025-05-05 17:54:54";"2025-05-05 17:54:54"
44;"Avenida Cruz de Piedra, Las Chacras, Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, 5700, Argentina";"-33.26316391257932";"-66.2208652496338";"2025-05-05 17:58:49";"2025-05-05 17:58:49"
45;"La Pancha Hernández, Las Chacras, Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, 5700, Argentina";"-33.26052639132412";"-66.23970508575441";"2025-05-05 18:01:17";"2025-05-05 18:01:17"
46;"La Joaquina Open Mall, 1653, Avenida del Viento Chorrillero, Barrio Juan Francisco Oyola, San Roque, Juana Koslay, Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, 5701, Argentina";"-33.29014458775162";"-66.25899553298952";"2025-05-05 18:05:30";"2025-05-05 18:05:30"
47;"Avenida del Portezuelo, Villa Antonio, Las Chacras, Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, 5700, Argentina";"-33.25647127134021";"-66.23785972595216";"2025-05-05 18:08:35";"2025-05-05 18:08:35"
48;"Avenida del Viento Chorrillero, Barrio Juan Francisco Oyola, San Roque, Juana Koslay, Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, 5700, Argentina";"-33.28045833672881";"-66.24240875244142";"2025-05-05 18:10:33";"2025-05-05 18:10:33"
49;"Avenida del Viento Chorrillero, Barrio Juan Francisco Oyola, San Roque, Juana Koslay, Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, 5700, Argentina";"-33.296224851574024";"-66.27283573150636";"2025-05-05 18:11:49";"2025-05-05 18:11:49"
50;"Avenida Teniente Juan D. Perón, Las Chacras, Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, 5700, Argentina";"-33.26696754448063";"-66.23189449310304";"2025-05-05 18:14:23";"2025-05-05 18:14:23"
51;"Avenida Central Los Nogales, El Chorrillo, Juana Koslay, Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, 5700, Argentina";"-33.2842791530242";"-66.25603437423707";"2025-05-05 18:16:29";"2025-05-05 18:16:29"
52;"Avenida del Portezuelo, Las Chacras, Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, 5700, Argentina";"-33.25347466794413";"-66.2589740753174";"2025-05-05 18:20:33";"2025-05-05 18:20:33"
53;"Aguada de Pueyrredón, Barrio Juan Francisco Oyola, San Roque, San Luis, Juana Koslay, Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, 5700, Argentina";"-33.28555272128733";"-66.26476764678956";"2025-05-05 18:25:57";"2025-05-05 18:25:57"
54;"Ejército Argentino, El Chorrillo, Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, Argentina";"-33.303183453530245";"-66.26026153564455";"2025-05-05 18:28:07";"2025-05-05 18:28:07"
55;"Autopista Los Puquios, Barrio Juan Francisco Oyola, San Roque, Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, 5700, Argentina";"-33.28930156787621";"-66.24231219291688";"2025-05-05 18:31:08";"2025-05-05 18:31:08"
56;"Autopista Los Puquios, Barrio Juan Francisco Oyola, San Roque, Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, 5700, Argentina";"-33.27733698239544";"-66.22524261474611";"2025-05-05 18:32:34";"2025-05-05 18:32:34"
57;"Las Chacras, Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, 5700, Argentina";"-33.2699905960227";"-66.22906208038331";"2025-05-05 18:35:02";"2025-05-05 18:35:02"
58;"La Pancha Hernández, Las Chacras, Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, 5700, Argentina";"-33.27104011763393";"-66.23399734497072";"2025-05-05 18:37:54";"2025-05-05 18:37:54"
59;"Avenida Teniente Juan D. Perón, Las Chacras, Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, 5700, Argentina";"-33.26849253905068";"-66.23243093490602";"2025-05-05 18:39:49";"2025-05-05 18:39:49"
60;"Guerrero, Las Chacras, Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, 5700, Argentina";"-33.2653707569217";"-66.23688340187074";"2025-05-05 18:41:23";"2025-05-05 18:41:23"
61;"Avenida Los Eucaliptos, Las Chacras, Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, 5700, Argentina";"-33.26685989679889";"-66.22717380523683";"2025-05-05 18:43:41";"2025-05-05 18:43:41"
62;"Boulevard José Toribio Videla, El Chorrillo, Juana Koslay, Municipio de Juana Koslay, Juan Martín de Pueyrredón, San Luis, 5700, Argentina";"-33.28696976835577";"-66.25208616256715";"2025-05-05 18:49:13";"2025-05-05 18:49:13"
